web-scraper-order,web-scraper-start-url,footballers,,,appearances,goals,assists,yellow cards,second yellows,red cards,starting lineup percentage,minutes played percentage,goal participation percentage
1653101556-546,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Assan Ceesay,,,32,19,10,9,-,-,83,76,38
1653101393-486,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Junya Ito,,,4,-,3,-,-,-,80,77,30
1653101309-454,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Kenan Kodro,,,27,15,6,4,-,-,83,82,48
1653101252-433,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Andreas Buch,,,25,16,4,7,-,-,62,62,36
1653101470-512,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Anthony Modeste,,,32,20,4,4,-,-,91,86,46
1653101046-358,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Serdar Dursun,,,32,14,4,2,-,-,51,54,26
1653101119-384,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Kevin Volland,,,33,9,10,9,-,-,76,71,30
1653101281-444,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Pedro Báez,,,21,9,-,3,-,-,73,69,27
1653101048-359,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Dion Drena Beljo,,,33,14,4,3,-,-,81,84,43
1653101226-424,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ludovic Ajorque,,,35,12,8,5,-,1,81,80,33
1653101247-431,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Andreas Cornelius,,,36,15,5,1,-,-,73,70,29
1653101093-376,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Lionel Messi,,,25,6,13,-,-,-,64,64,23
1653101234-427,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jackson Muleka,,,13,12,5,2,-,-,77,83,52
1653101080-371,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Talisca,,,24,16,2,5,-,1,92,90,38
1653101566-550,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Kodjo Fo Doh Laba,,,20,25,4,4,1,-,83,83,56
1653101384-482,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Arthur Cabral,,,13,2,2,1,-,-,53,55,25
1653101519-531,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Sunday Adetunji,,,28,20,6,8,-,-,93,86,43
1653101266-439,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Raúl de Tomás,,,34,17,3,5,1,1,89,88,50
1653101242-429,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mohamed Ben Kacem,,,19,15,5,6,-,-,72,68,50
1653101517-530,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Bertino Cabral Barbosa,,,27,19,7,6,-,-,93,93,46
1653101324-460,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Juanmi,,,32,16,5,5,-,-,66,61,34
1653101172-404,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Álvaro Saborío,,,18,6,4,1,-,1,77,74,32
1653101019-348,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Rafael Leão,,,33,11,7,4,-,-,81,76,27
1653101514-529,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Luis Díaz,,,12,4,3,-,-,-,67,65,21
1653101174-405,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ryan Curran,,,3,-,-,-,-,-,75,75,0
1653101272-441,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Loïs Openda,,,33,18,2,3,-,1,88,87,48
1653101583-557,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ricardo Gomes,,,5,4,-,-,-,-,83,96,27
1653101437-501,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Rafa Silva,,,28,8,16,3,-,-,65,68,31
1653101311-455,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Nikola Storm,,,5,-,-,-,-,-,80,71,0
1653101467-511,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Karim Adeyemi,,,28,19,5,4,-,-,74,67,32
1653101601-564,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Domenico Berardi,,,32,15,17,9,-,-,86,83,50
1653101571-552,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jakob Jantscher,,,29,13,17,2,-,-,87,76,50
1653101551-544,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Sébastien Haller,,,31,21,7,4,-,-,91,84,29
1653101072-368,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Djordje Jovanovic,,,9,3,-,-,-,-,78,83,23
1653101376-479,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Heberty,,,29,15,7,5,-,-,90,90,42
1653101546-542,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Duvier Riascos,,,16,8,2,3,-,-,80,77,63
1653101319-458,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Pieros Sotiriou,,,3,1,-,-,-,-,25,37,8
1653101165-402,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Faïz Selemani,,,29,13,6,4,-,-,82,82,44
1653101204-415,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Christy Manzinga,,,1,-,-,1,-,-,50,41,0
1653100994-339,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mariano Torres,,,19,6,3,6,-,-,77,78,30
1653101457-507,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mailson Lima,,,30,17,7,7,-,-,90,83,45
1653100970-330,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Lovro Majer,,,28,6,8,1,-,-,59,57,18
1653101289-447,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mirza Mustafic,,,24,10,11,8,-,-,76,71,33
1653101576-554,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Vinicius Junior,,,34,17,13,6,-,-,76,76,38
1653101591-560,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Darwin Núñez,,,28,26,4,6,-,-,71,66,38
1653101493-521,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ivi López,,,31,18,7,2,-,-,82,80,44
1653101179-407,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Artem Dovbyk,,,17,14,5,2,-,-,94,93,54
1653101103-379,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Noa Lang,,,5,-,2,1,-,-,100,92,29
1653101534-537,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Omer Atzili,,,8,1,-,1,-,-,100,84,10
1653101053-361,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Evanilson,,,6,7,-,1,1,-,100,82,37
1653101213-419,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Robinho,,,1,-,-,-,-,-,100,100,0
1653101606-566,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Vladimir Ambros,,,24,17,16,3,-,-,82,81,53
1653101597-562,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Marcel Hernández,,,18,15,3,4,-,1,77,78,40
1653101539-539,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Dominik Stolz,,,28,22,5,-,-,-,97,95,46
1653101181-408,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Joselu,,,37,14,5,-,-,-,95,94,61
1653101017-347,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,James Maddison,,,34,11,7,3,-,-,73,72,31
1653101401-489,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Dante Vanzeir,,,5,1,-,-,-,-,100,89,20
1653100984-335,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Alassane Plea,,,33,10,8,4,-,-,71,68,33
1653101624-573,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mohamed Salah,,,34,22,14,1,-,-,81,82,40
1653101003-342,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Francesco Caputo,,,37,11,7,1,-,-,86,86,37
1653101369-477,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Nadhir Benbouali,,,27,14,8,2,-,-,90,86,52
1653101451-505,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Taulant Seferi,,,32,15,9,4,-,-,91,95,39
1653101326-461,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Martin Mircevski,,,6,2,1,1,-,-,50,62,43
1653101498-523,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Shamar Nicholson,,,11,5,2,1,-,-,64,69,44
1653101536-538,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ciro Alves,,,32,20,7,4,-,-,94,92,55
1653100991-338,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Antonio Pino,,,10,11,7,3,-,-,90,83,50
1653101411-493,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mikael Ishak,,,29,17,6,4,-,-,88,86,35
1653101112-382,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Steven Berghuis,,,33,8,11,-,-,-,85,78,19
1653101331-463,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Tammy Abraham,,,37,17,4,9,-,-,95,91,36
1653101294-449,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Bryan Linssen,,,11,3,-,-,-,-,50,44,11
1653101527-534,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jordan Siebatcheu,,,32,22,4,1,-,-,83,73,34
1653101495-522,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Umut Bozok,,,37,18,7,3,-,-,70,74,40
1653101617-570,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Christopher Nkunku,,,5,3,3,-,-,-,80,81,46
1653101505-526,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Freddy Álvarez,,,31,8,18,4,-,-,94,94,39
1653101249-432,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Hugo Firmino,,,29,16,4,5,-,-,81,81,40
1653101588-559,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Imre Badalassi,,,24,23,7,3,-,1,85,83,48
1653101359-473,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Anthony Nwakaeme,,,29,12,10,3,-,-,70,65,32
1653101191-411,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Allen Guevara,,,21,8,2,2,-,-,95,93,22
1653101340-466,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Cristiano Ronaldo,,,30,18,3,8,-,-,79,80,42
1653101027-351,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Neymar,,,21,12,6,9,-,-,57,54,21
1653101141-392,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mirko Ivanic,,,5,4,-,-,-,-,83,63,31
1653101302-452,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Alexandru Maxim,,,31,14,7,7,-,-,74,73,44
1653101321-459,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Vangelis Pavlidis,,,33,16,5,6,-,-,94,82,33
1653101101-378,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Soufiane Rahimi,,,21,7,12,2,-,-,91,89,39
1653101034-353,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Maks Barisic,,,25,13,5,1,-,-,71,66,33
1653101162-401,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ryan Mmaee,,,21,13,6,5,-,-,52,52,32
1653101352-470,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jamie McDonagh,,,3,1,1,-,-,-,75,66,22
1653101462-509,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Tarik Tissoudali,,,4,2,1,-,-,-,60,64,38
1653101086-373,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Karol Angielski,,,33,17,1,1,1,-,76,77,44
1653101612-568,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Marko Livaja,,,33,27,7,7,-,-,94,94,54
1653101135-390,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Artur Abreu,,,25,12,7,7,-,-,86,84,50
1653100981-334,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Firas Ben Larbi,,,23,10,8,-,-,-,96,96,56
1653101078-370,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ayoub El Kaabi,,,31,16,2,2,-,-,78,73,35
1653101366-476,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Adel Bettaieb,,,26,14,8,7,-,1,79,78,29
1653101036-354,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Baghdad Bounedjah,,,17,13,5,2,-,-,64,60,23
1653101585-558,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Erling Haaland,,,24,22,8,3,-,-,62,63,35
1653101594-561,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ciro Immobile,,,31,27,3,4,-,-,84,82,41
1653101349-469,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Anthony Contreras,,,22,10,-,3,-,-,95,97,43
1653101334-464,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Nicolas Perez,,,26,18,3,5,-,-,86,87,41
1653101529-535,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Michael Frey,,,5,1,-,-,-,-,80,64,50
1653101160-400,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Antonio Marchesano,,,32,13,6,4,-,-,86,73,25
1653101221-422,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Gustavo,,,24,12,8,3,-,-,79,76,48
1653101264-438,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Samy Frioui,,,28,17,3,1,-,-,83,76,57
1653101502-525,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Martin Terrier,,,36,21,4,1,-,-,97,82,31
1653101578-555,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Aleksandar Katai,,,6,3,4,1,-,-,100,93,54
1653101362-474,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Dimitri Payet,,,31,12,10,3,-,-,76,78,37
1653101152-397,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Redon Xhixha,,,26,13,6,1,-,1,68,65,31
1653101038-355,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mohamed Bayo,,,31,13,5,1,-,-,70,70,49
1653101482-517,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Randall Azofeifa,,,13,6,3,1,-,-,45,43,31
1653101130-388,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Igor Ivanovic,,,24,11,8,4,-,1,63,62,26
1653101336-465,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Saliou Guindo,,,32,18,3,1,-,-,91,90,44
1653101292-448,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mason Mount,,,31,11,10,4,-,-,70,68,28
1653100975-332,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Dimitar Iliev,,,5,3,-,2,-,-,83,73,50
